Name	Hex	HSL
lack	#708090	hsl(210, 13%, 50%)
luster	#deeeed	hsl(176, 32%, 90%)
green	#789978	hsl(120, 14%, 54%)
blue	#7788AA	hsl(221, 22%, 57%)
orange	#ffaa88	hsl(19, 100%, 77%)
red	#D70000	hsl(0, 100%, 42%)
black	#000000	hsl(0, 0%, 0%)
gray1	#080808	hsl(0, 0%, 3%)
gray2	#191919	hsl(0, 0%, 10%)
gray3	#2a2a2a	hsl(0, 0%, 16%)
gray4	#444444	hsl(0, 0%, 27%)
gray5	#555555	hsl(0, 0%, 33%)
gray6	#7a7a7a	hsl(0, 0%, 48%)
gray7	#aaaaaa	hsl(0, 0%, 67%)
gray8	#cccccc	hsl(0, 0%, 80%)
gray9	#DDDDDD	hsl(0, 0%, 87%)
